src,hyp,tgt,label,target_word,mis_score
"2004 : the necessity for yet another place at which to buy a polo shirt or a pair of flip-flops may not be apparent to the town 's residents — the new yorker , 30 august 2004 , p.38 . What is the meaning of flip-flop ?",Alternative form of flip flops,A sandal consisting of a rubber sole fastened to the foot by a rubber thong fitting between the toes and around the sides of the foot .,Hallucination,flip-flop,0.15702049434185028
"`` i 'll get into the clothes this minute , if they 're here , '' said sam , with great alacrity . What is the meaning of alacrity ?",ness,Eagerness ; liveliness ; enthusiasm .,Hallucination,alacrity,0.23914645612239838
"Within the Solar System , the <define> rocky planets </define> are the four inner planets closest to the Sun .",any rocky planets.,(astronomy) A planet composed primarily of metals and/or silicate rocks and having a solid surface.,Hallucination,planets,0.22425147891044617
"The third molar tooth erupts late in most people , and sometimes does not appear at all . What is the meaning of erupt ?",To erupt; to give out,To burst forth ; to break out .,Not Hallucination,,0.7334175705909729
a <define> suspectedly </define> malignant tumour,Not suspectedly.,In a way that is suspected.,Hallucination,suspectedly,0.1934131383895874
""" Yep , "" he said and he looked down at his <define> mudcovered </define> boots . His mudcovered knees .",Covered in mud,Covered in mud; muddy.,Not Hallucination,,0.8966509103775024
"One indication of the "" <define> hotelization </define> "" of a household is that people treat common areas as if they expect a maid to do all the cleaning !",(Hotelization) Processing into a hotel,The process of hotelizing.,Not Hallucination,,0.7779085636138916
Proprietary rights . What is the meaning of proprietary ?,Any property that is not public domain.,Of or relating to property or ownership .,Hallucination,proprietary,0.12714894115924835
I have a guilty secret . What is the meaning of guilty ?,Having been found out to be guilty of something.,Blameworthy .,Hallucination,guilty,0.3748764097690582
His troops moved to victory with the precision of machines . What is the meaning of troop ?,any thing that is used to win.,"Soldiers , military forces ( usually `` troops '' ) .",Hallucination,troop,0.10000115633010864
"This was performed in a most <define> unbutcherlike </define> manner , with an old sword . They were several minutes in cutting through his neck till they reached the arteries .",like unbutcherlike manner unbutcherlike manner manner in which something is cut or cut unbutcherlike manner in which something is cut,Not butcherlike.,Not Hallucination,,0.7134782075881958
"Again we read at page 174 : “ Instead of the Universal Roman Catholic Church there existed after 1650 the National Catholic Churches of Spain , France , Austria , Poland , etc . more subject to the Royal supremacy than to the Papal , not , however , so completely as in England . ”   This is obviously an exaggeration .   There never existed in the countries mentioned , least of all in Spain , any National Catholic Church .   There would not have existed any such contradictorially - named organization even in England had it not been for the lechery of Henry VIII .   Other similar <define> misstatements </define> might be noticed here and there .   The author 's intention , however , to be just is patent and his success in this respect is noteworthy .",Not correct definition of misstatements,Something stated wrongly; a (usually unintentionally) incorrect statement.,Hallucination,misstatements,0.16639108955860138
"In xanadu did / a stately pleasure-dome decree : / where , the sacred river , ran / through caverns measureless to man / down to a sunless sea . What is the meaning of cavern ?",any cave or caverns,An underground chamber .,Hallucination,cavern,0.40606075525283813
"Bart eventually gets Laura to <define> babysit </define> while Homer and Marge eat at the Sea Captain ’s all - you - can - eat seafood joint , The Frying Dutchman .",anything that is babysited by someone else,"(ambitransitive) To watch or tend someone else's child for a period of time, often for money.",Hallucination,babysit,0.2534266412258148
"No matter how early i came down , i would find him on the veranda , smoking cigarettes , or otherwise his man would be there with a message to say that his master would shortly join me if i would kindly wait . What is the meaning of early ?",Early; in advance; beforehand,At a time before expected ; sooner than usual .,Not Hallucination,,0.796147346496582
a <define> nonfragrant </define> plant,Not able to please.,Not fragrant.,Hallucination,nonfragrant,0.11292369663715363
A hermit does n't much care for <define> civilization </define> .,"any process of civilizing, civilising","(uncountable) Human society, particularly civil society.",Hallucination,civilization,0.14181889593601227
"Several morphological characters readily distinguish Petrocephalus and the <define> mormyrin </define> genera , such as the presence of two closely apposed nostrils ( versus non closely apposed in mormyrins ) and the absence of the basisphenoid bone ( versus presence in mormyrins ; Taverne 1972 ) .",any thing that resembles mormyrins.,Any elephantfish of the subfamily Mormyrinae.,Hallucination,mormyrin,0.15834398567676544
Engagers in conflicts . What is the meaning of engager ?,The person who engages in a fight.,"One who , or that which , engages .",Hallucination,engager,0.387719988822937
"You can open and close all the doors you want during this delay . just keep in mind that if you have to re-enter , and it has been close to a minute , you may want to disarm and then re-arm just to be on the safe side . What is the meaning of disarm ?",The act of disarming.,To disable the security systems on .,Hallucination,disarm,0.17369432747364044
"“ The trick is not to <define> museumify </define> the landscape , but use it as a positive asset for education and leisure , ” he says . [ … ] But companies such as Carnon Holdings and Geevor Tin Mines do not want to museumify tin mining . They want the industry to continue into the next century .",To make something museumlike.,Synonym of museumize,Hallucination,museumify,0.28447577357292175
Unstyled hair . What is the meaning of unstyled ?,Not styled,To which no style has been applied .,Not Hallucination,,0.8555260896682739
I ca n't stand her mean-spiritedness . she wo n't even find time to visit her grandmother in hospital . What is the meaning of spiritedness ?,Having spiritedness.,"The property of being spirited , of having spirit .",Not Hallucination,,0.8088753819465637
"However , both the RGC protection and the <define> axoprotection </define> seem to be lost by 11–13 months of age ( despite a slight difference in RGC protection at this age group manifesting as a smaller proportion of retinas with extreme RGC loss ) suggesting that C1qa absence can not fully abrogate glaucomatous degeneration ad infinitum .",Protection of the axons,protection from damage to axons,Not Hallucination,,0.8548873662948608
She upgraded to a more successful husband . What is the meaning of upgrade ?,To upgrade something.,To improve in condition or status .,Not Hallucination,,0.7646484375
To sweeten the air . What is the meaning of sweeten ?,To make air sweet.,To make pure and salubrious by destroying noxious matter .,Hallucination,sweeten,0.19553714990615845
<define> semiarborescent </define> scrub,any.,Somewhat or partly arborescent.,Hallucination,semiarborescent,0.14829270541667938
"Go to the channel you want to "" <define> favoritize </define> , "" and then click the Add button .",favorize,(transitive) To make a favorite of; to give preference to.,Hallucination,favoritize,0.43778982758522034
Political horsepower . What is the meaning of horsepower ?,power of a horse.,Strength .,Hallucination,horsepower,0.28375935554504395
"right , that 's where Burke hid the <define> prop gun </define> after he put the real revolver in its place .. Everyone on the set saw Burke practice taking the prop gun out of the drawer right before the first take . He got his fingerprints on it then . And since he was using the real gun when he convinced Dean that he was having trouble doing the scene , his fingerprints are on that , too .",The prop gun,"(film, TV) A replica of a real gun, incapable of firing projectiles (thus not actually a firearm) used in making a movie or television production.",Hallucination,gun,0.10768673568964005
Functions need to access two kinds of <define> nonregister </define> variables : formal parameters and local auto variables . Both types are allocated on the stack .,Parameters used to access two kinds of nonregister variables : formal parameters and local auto variables . Both types are allocated on the stack .,(computing) Not stored in a register.,Hallucination,nonregister,0.1428002566099167
“ Inconsistent ! ” resumed Mr. Jones . “ He is worse than <define> inconsistent </define> . Inconsistencies may be pardoned as constitutional defects [ ... ] ”,Not consistent.,Not consistent or coherent in thought or behavior.,Not Hallucination,,0.8109263181686401
Her fractured family could never agree on anything . What is the meaning of fractured ?,broken down into fragments,Split into groups which disagree .,Hallucination,fractured,0.3540286421775818
The trout is a freshwater fish . What is the meaning of freshwater ?,any freshwater fish.,Living in fresh water .,Hallucination,freshwater,0.268948495388031
The capitol building is located smack-dab in the middle of the state capital . What is the meaning of capitol ?,any building where the seat of government is located,Any building or complex of buildings in which a legislature meets .,Hallucination,capitol,0.28010955452919006
"The Main Event was coming right up , and the tension was palpable . It was Petula 's turn , and she decided to get creative and show some real <define> cheerleadership </define> . Rather than bust a rhyme , Petula grabbed the Wendys and they broke out in song .",The act of leading others.,The role or actions of a cheerleader; enthusiastic encouragement.,Hallucination,cheerleadership,0.26288795471191406
"Lord aberdeen is indignant that he is described as the tool of russia , and to prove his independence , vows that he has , when secretary of state , written very `` acrimonious '' despatches against that power . secretaries of state ought never to write `` acrimonious '' despatches . if the letters of lord aberdeen to the `` foreign conspirators , '' who are his correspondents at paris and elsewhere , had been a little more acrimonious as regards russia , affairs might have been better , What is the meaning of acrimonious ?",The acrimoniousness of something is its acrimoniousness,"Angry , acid , and sharp in delivering argumentative replies : bitter , mean-spirited , sharp in language or tone .",Hallucination,acrimonious,0.17444589734077454
I have heard two reasons suggested for this indiscriminating application of punishment to the innocent and to the culpable . What is the meaning of indiscriminating ?,Not discriminating.,indiscriminate,Hallucination,indiscriminating,0.3856692314147949
"Turne thee back , / and tell thy king , i doe not seeke him now , / but could be willing to march on to callice , / without impeachment : [ ... ] What is the meaning of impeachment ?",chedness,Hindrance ; impediment ; obstruction .,Hallucination,impeachment,0.13330502808094025
A petticoat affair . What is the meaning of petticoat ?,any.,Feminine ; female ; involving a woman .,Hallucination,petticoat,0.17148227989673615
The engagement resulted in many casualties . What is the meaning of engagement ?,any act of engagement.,"In any situation of conflict , an actual instance of active hostilities .",Hallucination,engagement,0.20171481370925903
"But there is one exception , and that is London . London walking is a quite distinct and peculiar thing , utterly unlike any other town - walking . It is a unique branch of walking in general and solitary walking in particular : for all the circumstances which make town - walking solitary apply <define> tenthousandfold </define> in London .",multiplied by tenfold,By a factor of ten thousand.,Not Hallucination,,0.7301977872848511
"We confess it appears to us that knowledge of character , quick perception into the worth or <define> worthliness </define> of those about us , in no degree depends on , or can be governed by , any system or theory whatever .",The worthiness of things.,The state or condition of being worthly; valuableness; importance; stateliness; dignity; worthiness; excellence.,Hallucination,worthliness,0.2196889966726303
The physician extraordinary in a royal household . What is the meaning of extraordinary ?,very good quality.,Special or supernumerary .,Hallucination,extraordinary,0.10756830126047134
"This is different from the <define> rewritability </define> of DVD - RW and is closer in function to a "" removable hard drive "" than to an optical disc .",The ability to be rewritten again,The state or condition of being rewritable.,Not Hallucination,,0.7838022708892822
"Also , as indicated by the phase diagram , Au and Ni are mutually <define> misable </define> in each other , so any dissolved Au precipitates out and is thought to diffuse to the interface during aging to create a more thermally stable configuration [ 60 ] .",Not able to change.,Able to dissolve; soluble,Hallucination,misable,0.1652858406305313
"He hunts the woods , or the country . What is the meaning of hunt ?",To hunt something out,To use or traverse in pursuit of game .,Not Hallucination,,0.7278236746788025
"Some of the most beautiful and thus appealing physical theories , including quantum electrodynamics and quantum gravity , have been dogged for decades by infinities that erupt when theorists try to prod their calculations into new domains . getting rid of these nagging infinities has probably occupied far more effort than was spent in originating the theories . What is the meaning of calculation ?",The act of calculating something.,The result of calculating .,Hallucination,calculation,0.2117449939250946
"At these energetic sounds , the sun hid himself beneath a gloomy cloud ; and the waters of two little lakes , that were naturally clearer than crystal , became of a colour like blood . What is the meaning of energetic ?",any.,"Having powerful effects ; efficacious , potent .",Hallucination,energetic,0.12777738273143768
The inflated speech did not impress the audience . What is the meaning of inflated ?,inflated speech,"Containing excessive , meaningless words , particularly for show",Hallucination,inflated,0.42171356081962585
"The second major perspective is structuralist and <define> anti - conspiratorial </define> , and treats the primary function of the state as guaranteeing accumulation .",Anti-conspiratory. An anti-conspiratory system.,Against conspiracies.,Not Hallucination,,0.8292339444160461
"The power consumed in metal cutting is largely converted into heat near the cutting edge of the tool , and many of the economic and technical problems of machining are caused directly or indirectly by this heating action . What is the meaning of cutting ?",any process where material is cut off from a solid body by a sharp edge.,That is used for cutting .,Hallucination,cutting,0.2661035656929016
The arrow fell wide of the mark . What is the meaning of wide ?,Very wide.,away from or to one side of a given goal,Hallucination,wide,0.23800845444202423
You 're not just buying and selling with a wizard and a scholar in tow . what 's so important that you have to hire a wall-crawler ? What is the meaning of wall-crawler ?,Any person who crawls walls.,something which adheres to and crawls upon vertical surfaces,Hallucination,wall-crawler,0.20739950239658356
We two ... in this swamp of iniquity ... together we can bring redress to an unjust world . What is the meaning of swamp ?,any swamp of iniquity,A place or situation that is foul or where progress is difficult .,Hallucination,swamp,0.16578786075115204
"Lessius qualified his position on killing in self - defense for defense of honor by noting that although it is permissible to kill for these reasons , it is a moral <define> counsel of perfection </define> to allow oneself to be killed rather than to kill .",To counsel of perfection,(by extension) Noble but impractical idealistic advice.,Hallucination,perfection,0.13663148880004883
The first impression he must have made on the heathen chieftains was that of a man <define> unintimidatable </define> and devoid of fear .,Not intimidable,Fearless; not able to be intimidated.,Not Hallucination,,0.7996494174003601
"Mary stood as godmother for little Emily , her <define> godchild </define> .",child who is the child of god parents,"A child whose baptism is sponsored by a godparent. In some cases the relationship is maintained indefinitely, with the godchild being treated much like a niece or nephew.",Hallucination,godchild,0.3393743336200714
The reality of the crash scene on tv dawned upon him only when he saw the victim was no actor but his friend . What is the meaning of reality ?,The state of being real,The state of being actual or real .,Not Hallucination,,0.7287642955780029
"The beauty of li-fi is that it uses existing infrastructure , avoiding the need for thousands of radio masts , as the current spectrum requires . What is the meaning of Li-Fi ?",Alternative form of LiFi,"A bidirectional , high-speed , networked wireless communication technology similar to Wi-Fi but using visible light instead of radio waves .",Hallucination,Li-Fi,0.4227782189846039
He had an unhealthy interest in fire . What is the meaning of unhealthy ?,Having a tendency to cause harmful effects.,characterized by disturbed mental health,Hallucination,unhealthy,0.20823150873184204
"[ … ]   and , as I will argue in Chapter Five , these differ significantly from the <define> pulled - to - publish </define> ( P2P ) novels like After and Fifty Shades of Grey .",To publish.,(of a work of fiction) Previously published as fan fiction before being commercially released.,Hallucination,publish,0.11146680265665054
"The gracious judge , without revile , replied . What is the meaning of revile ?",Alternative form of revile,reproach ; reviling,Hallucination,revile,0.19611336290836334
I am a seriously <define> antibureaucratic </define> person .,Alternative form of bureaucratic,(politics) Opposed to bureaucracy,Hallucination,antibureaucratic,0.30805227160453796
This latest gaffe hurts the legislator 's reelection prospects still further . What is the meaning of hurt ?,The act of harming or harming.,"To damage , harm , impair , undermine , impede .",Hallucination,hurt,0.46729713678359985
The boy scouts were going to accept him as a member . What is the meaning of accept ?,Acceptance,To admit to a place or a group .,Hallucination,accept,0.4166518449783325
The new leaflets at the end of the branch were a lighter shade of green than the mature leaves . What is the meaning of leaflet ?,A small leaf.,A small plant leaf .,Not Hallucination,,0.8343204259872437
"The second method , used by many European throwers , is the <define> nonreverse </define> throw .",Any throw that is not reverse.,Not in reverse.,Hallucination,nonreverse,0.4320453405380249
Poised link-up play between essien and lampard set the ghanaian midfielder free soon after but his left-footed shot from outside the box was too weak . What is the meaning of left-footed ?,Left-footed. A player left-footed.,Played using the left foot,Not Hallucination,,0.8769720792770386
The effects of a chernobyl disaster in my community would probably be barely noticeable . What is the meaning of Chernobyl ?,any thing that has been contaminated by radiation from the Chernobyl disaster.,A major nuclear-energy accident .,Hallucination,Chernobyl,0.3040638864040375
"In a note to his MS . cases , he himself favours us with the following <define> autobiographal </define> account of these occurrences .",any autobiographical account of a person's life. autobiographical account of a person's life,(archaic) autobiographical,Hallucination,autobiographal,0.45389750599861145
Curb your enthusiasm . What is the meaning of enthusiasm ?,"Any vigorous, ardent, vigorous, vigorousness.",Intensity of feeling ; excited interest or eagerness .,Hallucination,enthusiasm,0.31551793217658997
"You really showed them , bossman . what 's your name ? What is the meaning of bossman ?",any man who is in charge of other people,A male boss ; an employer .,Hallucination,bossman,0.4480387568473816
"Beyond the border proper , there are three small outposts not officially under government protection . What is the meaning of outpost ?",any place where a post or post is set up.any place where a post or post is set up,An outlying settlement .,Hallucination,outpost,0.2353496253490448
"Perhaps no aspect of library design is as vital to the success of library users as is effective signage , and certainly few other aspects are as perplexing for library planners . [ ... ] librarians often can not rely on architects and interior designers to plan effective signage and must address this feature of library building design on their own . What is the meaning of signage ?",any signage,"Signs , particularly those imparting commercial , directional , or road traffic information , taken collectively .",Hallucination,signage,0.2632007598876953
"Nadal is supposedly the alpha male in any slugfest . but rosol 's forehand shots were being sent towards the majorcan at 93mph plus , and his was the fastest serve at 134mph . What is the meaning of slugfest ?",ched match,A game or match in which heavy blows are exchanged .,Hallucination,slugfest,0.14364339411258698
A crowd of <define> underbusy </define> men waited among the shacks near Hickok 's .,Having been very busy. Having been very busy.,Insufficiently busy; not having enough to do.,Hallucination,underbusy,0.19982166588306427
Jones ran out an infield single . What is the meaning of infield ?,any field where play takes place,"Of an event , happening in the infield .",Hallucination,infield,0.11803646385669708
The decayed remains of the pilot 's shirt showed where the plane had been shot down . What is the meaning of decayed ?,Decayed.,"Having undergone decay , rotted .",Not Hallucination,,0.7913327217102051
His taking the name of god in vain was considered blasphemous . What is the meaning of blasphemous ?,any offensive to god. blasphemous.,Lacking piety or respect for the sacred . Resembling blasphemy .,Hallucination,blasphemous,0.2698740065097809
"The game was commercially released on Xbox and PC in 2005 as an installment of the Close Combat series , which had been <define> out </define> since 1996 .",The game was commercially released on Xbox and PC in year as an installment of Close Combat series which had been out since year.,"Released, available for purchase, download or other use.",Hallucination,out,0.2789408266544342
"Senior eu figures have attacked theresa may 's post-brexit immigration plan with the president of the european commission , jean-claude juncker , signalling that he expects a row with the british prime minister at an upcoming `` moment of truth '' summit . What is the meaning of post-Brexit ?",Post Brexit.,Referring to the time after the UK leaves the EU .,Not Hallucination,,0.8287348747253418
""" Do n't tell me , Daddy , that you with all your complex brain and wonderful self are a thing with no more life hereafter than a broken clock ! "" "" Four buckets of water and a bagful of salts , "" said Challenger as he <define> smilingly </define> detached his daughter 's grip .",Smilingly.,In a smiling manner; with a smile.,Not Hallucination,,0.8706206679344177
The director searched their talent pool to fill the new opening . What is the meaning of talent ?,Talent pool,"People of talent , viewed collectively ; a talented person .",Hallucination,talent,0.2051420956850052
"Unless the hunter is a <define> dead - eye Dick </define> , lighter guns may not kill cleanly .",Not able to shoot straight.,A marksman who never misses.,Hallucination,Dick,0.10606993734836578
"Tom perkins is putting his superyacht , the maltese falcon , up for sale , just two years after he first set sail on it . What is the meaning of superyacht ?",Alternative form of superyacht,A very large luxury yacht .,Hallucination,superyacht,0.3665083348751068
"But if a goddess beds a man , hungry for the one bliss — rank , imperfect , mortal bliss — the one that <define> outsweats </define> your divine eternal summer , goddamit , then you 're right there with your lightning bolts .",To outweat,"(ambitransitive, now rare) To sweat out or cause to sweat out",Hallucination,outsweats,0.11355850100517273
a <define> reflecting </define> telescope,Reflecting.,Having a component that reflects light. [from 17th c.],Hallucination,reflecting,0.4676388204097748
"Satiety and mortification are the extremes of vanity , and both are equally attended by envy , hatred , malice , and all <define> uncharitableness </define> .",any thing that is uncharitable.,The state or condition of being uncharitable.,Hallucination,uncharitableness,0.30198100209236145
Richard began experimenting with cocaine last year ; now he uses almost every day . What is the meaning of use ?,any substance that is used or used to cause a feeling of euphoria.,"To consume a previously specified substance , especially a drug to which one is addicted .",Hallucination,use,0.14697475731372833
The teacher 's civilization of the child was no easy task . What is the meaning of civilization ?,The process of civilizing something,The act or process of civilizing or becoming civilized .,Not Hallucination,,0.8327787518501282
"But honeſt men ’s words are Stygian oaths , and promiſes <define> inviolable </define> .",Not able to be broken down or destroyed.,Not violable; not to be infringed.,Hallucination,inviolable,0.19500577449798584
The child 's constant wrigglings made her difficult to hold . What is the meaning of wriggling ?,To wriggle.,The act of one who wriggles .,Not Hallucination,,0.7125277519226074
"Look , i do n't francais , so speak to me in english . What is the meaning of francais ?",French. French.,French .,Not Hallucination,,0.8101246356964111
A curve surface . What is the meaning of curve ?,Curved surface,Bent without angles ; crooked ; curved .,Hallucination,curve,0.40770283341407776
That was mighty <define> jerksome </define> of you .,Of excessively unpleasant or unpleasant.,"Characteristic of a jerk, or obnoxious person.",Hallucination,jerksome,0.357185423374176
"Many women authors extend the sort of metafictional self-scrutiny which so extensively sustains : 's novels , for example , often raise self-referential questioning of their own representational validity and teases several of her heroines with unsettling awareness of the process of their own creation . What is the meaning of self-referential ?",self referentialism,In a literary work : referring to the author or the author 's other works .,Hallucination,self-referential,0.1642751395702362
"A garden is a lovesome thing , god wot ! What is the meaning of lovesome ?",Very lovable,"Lovable on account of beauty ; lovely , beautiful .",Not Hallucination,,0.7402716279029846
The woods rang with shrill cries of the birds . What is the meaning of shrill ?,any loud sound.,High-pitched and piercing .,Hallucination,shrill,0.3495788276195526
"Pollsters often engage in a practice known as “ <define> herding </define> , ” which refers to the tendency to announce results similar to those other organizations have already published .",The act of announcing results similar to those other organizations have already published,Manipulation of poll results by a polling organization so that they match those produced from other organizations.,Hallucination,herding,0.322753369808197
They returned the missing child to his frantic mother . What is the meaning of frantic ?,"Very hotly, passionately.","In a state of panic , worry , frenzy or rush .",Hallucination,frantic,0.4483477473258972
"Oh , tannenbaum , oh , tannenbaum , how lovely are thy branches . What is the meaning of Tannenbaum ?",any tree with branches.,Christmas tree .,Hallucination,Tannenbaum,0.12285036593675613
"Since the development of fiber optics , treatments utilizing catheterization have replaced some former surgical procedures . What is the meaning of catheterization ?",The process of catheterization,The procedure of introducing a catheter .,Not Hallucination,,0.7265918850898743
The earth occults the moon during a lunar eclipse . What is the meaning of occult ?,any thing that is obscured from view by other things.,To cover or hide from view .,Hallucination,occult,0.1442081779241562
<define> jugged </define> hare,Having been jugged.,Having been cooked by jugging.,Hallucination,jugged,0.19176045060157776
The vacation package includes car rental . What is the meaning of include ?,Something that is included in something else.,"To contain , as parts of a whole ; to comprehend .",Hallucination,include,0.21601328253746033
"Daylight , between mouthfuls , fed chunks of ice into the tin pot , where it thawed into water . ... daylight cut up generous chunks of bacon and dropped them in the pot of bubbling beans . What is the meaning of chunk ?",ch of food cut into pieces.,A part of something that has been separated .,Hallucination,chunk,0.16610956192016602
"I think that is what we principally object to , a continuous <define> layerization </define> of authorities .",The process of layering something.,The condition of being layerized; the process of layerizing something.,Not Hallucination,,0.7704432606697083
Spiders <define> weave </define> beautiful but deadly webs .,To twist or twine together.,To spin a cocoon or a web.,Hallucination,weave,0.17215916514396667
"The act of reading and writing and their relation to representation ( in general ) and literature ( in particular ) have , of course , received increasing attention over the last several years from authors and critics alike . we have seen a proliferation of self-referential gestures in much recent fiction : an emphasizing of the processes and implications of reading and writing , such as that found in the work of or , to name only two of the many authors who come to mind . What is the meaning of self-referential ?",Not self referentialism,In a literary work : referring to the author or the author 's other works .,Hallucination,self-referential,0.10675996541976929
"The influence of christianity may have hastened the end of holmgang in iceland , but long before the conversion of the country enlightened public opinion had come to see the absurdity of single combat as a method of settling disputes . What is the meaning of holmgang ?",any thing that is fought by force.,"In Norse and Icelandic culture , a duel to the death .",Hallucination,holmgang,0.10495588928461075
The abduction of a child . What is the meaning of abduction ?,The act of abduction,"The wrongful , and usually forcible , carrying off of a human being .",Not Hallucination,,0.7222350835800171
They shot down the helicopter with a rocket launcher . What is the meaning of launcher ?,Alternative form of launcher,One who or that which launches . A device that throws something or the person who initiates a launch .,Hallucination,launcher,0.17180588841438293
You could make this tasty meal for breakfast . What is the meaning of tasty ?,Very tasty.,Having a pleasant or satisfying flavor ; delicious .,Not Hallucination,,0.8507887125015259
The batter 's hitting improved with practice . What is the meaning of hitting ?,To hit something,The skill of hitting .,Not Hallucination,,0.7093340754508972
""" We 've demonstrated that when push comes to shove , we can be really fast , we can be agile , we can do things more <define> slickly </define> .",Smoothly.,In a slick manner; slipperily.,Not Hallucination,,0.8529050946235657
A pillar of smoke . What is the meaning of pillar ?,Resembling smoke column.,Something resembling such a structure .,Hallucination,pillar,0.12376252561807632
"No ! he covets . that is his nature . and how do we begin to covet , clarice ? do we seek out things to covet ? make an effort to answer now . What is the meaning of covet ?",To covet something.,"To wish for with eagerness ; to desire possession of , often enviously .",Not Hallucination,,0.734861433506012
"Handicraft is less standardized then industrial products , hence less artistic or rather flawless . What is the meaning of industrial ?",any thing that is manufactured by machination.,Produced by such industry .,Hallucination,industrial,0.12358078360557556
against the <define> unaccurateness </define> and the unconcludingness of the Analytical Experiments,anything that is unaccurate or unaccurated,The quality of being inaccurate; lack of accuracy; inaccurateness,Hallucination,unaccurateness,0.4285961091518402
We installed a dividing wall in order to create two rooms out of one . What is the meaning of dividing ?,To divide something into two or more parts,Serving to divide or separate .,Not Hallucination,,0.7349827289581299
Bilingual education . What is the meaning of bilingual ?,Two-lingual.,Characterized by the use or presence of two languages .,Not Hallucination,,0.7457606792449951
a relative <define> diversifiability </define> of states and powers and functions,diversification,The quality or capacity of being diversifiable.,Hallucination,diversifiability,0.2764746844768524
"India has a healthy share of poisonous snakes , including kraits , cobras , and two species of vipers , yet hindu traditions are overwhelmingly snake-friendly . What is the meaning of krait ?",genus of snakes.,"Any of several brightly-coloured , venomous snakes , of the genus Bungarus , of southeast Asia .",Hallucination,krait,0.4604770839214325
I am sure such a minimalist style of furniture would never fit well with my packrat nature . What is the meaning of minimalist ?,A person who adheres to a minimalist philosophy.,Believing in or seeking a minimal state ; seeking to minimize or reduce to a minimum .,Not Hallucination,,0.7063185572624207
But there has already been an attempt to hold a <define> Czexit </define> referendum .,Alternative form of exit,The (possible) act of the Czech Republic leaving the European Union.,Hallucination,Czexit,0.10916959494352341
We encourage the use of bicycles in the town centre . What is the meaning of encourage ?,To encourage something to happen,"To spur on , strongly recommend .",Not Hallucination,,0.7710171937942505
"He was a serial entrepreneur , always coming up with a new way to make cash . What is the meaning of serial ?",Having been in service long time.,Doing something repeatedly or regularly as part of one 's lifestyle or career .,Hallucination,serial,0.1353524625301361
"A <define> worshipworthy </define> being would , in particular , be goodness encapsulated on a grand scale .",Worthy.,Worthy of worship; worthy or fit to be worshipped; worshipable.,Not Hallucination,,0.8023084402084351
The subwoofer that comes with this set of speakers is a <define> beast </define> .,"any large, strong animal.",(slang) Anything regarded as larger or more powerful than one of its normal size or strength.,Hallucination,beast,0.1094057634472847
Her dress was obviously more pretentious than comfortable . What is the meaning of pretentious ?,Importantious,Intended to impress others ; ostentatious .,Hallucination,pretentious,0.26606127619743347
That adulterous hussy wrecked my marriage ! What is the meaning of wreck ?,To wreck something.,"To destroy violently ; to cause severe damage to something , to a point where it no longer works , or is useless .",Not Hallucination,,0.7083204984664917
Deleterious to someone 's health . What is the meaning of deleterious ?,harmful to health,Harmful often in a subtle or unexpected way .,Hallucination,deleterious,0.354227751493454
"The sun is out , and it 's a lovely day . What is the meaning of out ?",outdoorside,Visible in the sky ; not obscured by clouds .,Hallucination,out,0.3094629645347595
"On the primary course , you create whole <define> folderfuls </define> of these paper - fillers , each individual task being incredibly straightforward but also annoyingly time - consuming .",A set of folders containing a particular type of files,"All of the documents, papers, notes, etc. that are contained in a folder.",Hallucination,folderfuls,0.1264222115278244
The offshoots of a tree . What is the meaning of offshoot ?,any tree branch or twig offshoot tree branch,That which shoots off or separates from a main stem or branch of a plant .,Hallucination,offshoot,0.29193150997161865
the <define> predocumentary </define> period of human history,any prehistorical,Before documentation.,Hallucination,predocumentary,0.2916445732116699
"In the morning as soon as he woke up he at once started smoking , drinking and eating the <define> tunnyfish </define> in oil , and writing quantities of letters in a tearing hurry , and he upset a bottle of ink on a carpet in his room   [ … ]",fish that is used to eat.,tuna,Hallucination,tunnyfish,0.1377226710319519
"In polling by the Pew Research Center in November 2008 , fully half the respondents thought the two parties would cooperate more in the coming year , versus only 36 percent who thought the climate would grow more <define> adversarial </define> .",adversarialism,"Characteristic of, or in the manner of, an adversary; combative, hostile, opposed.",Hallucination,adversarial,0.400681734085083
You must taste her prizewinning cobbler . What is the meaning of prizewinning ?,Winning.,Having won at least one prize .,Not Hallucination,,0.8494808673858643
a <define> premodern </define> Chinese sculpture,"any old-fashioned, outdated",Preceding or predating the modern era.,Hallucination,premodern,0.15484005212783813
"The German people are fond of potato salad and this one , served hot , was new to me . I give it to you by permission of my dear friend and fellow <define> potatophile </define> , Hilde Grumer .",One who is a potatophile,(rare) A lover of potatoes.,Not Hallucination,,0.8157564401626587
"[ … ]   and the <define> enby </define> community needs to be welcoming of nb lesbians a well , ” says Evee Sams , a lesbian , polyamorous , agender , trans gxrl .",anything that is not straight.,"(neologism, informal) Non-binary; having a gender identity that is not male or female.",Hallucination,enby,0.1438140571117401
Many of these <define> expungees </define> achieve immediate reinstatement through the proper fiscal procedure .,Alternative form of expunge,One whose information or record has been expunged.,Hallucination,expungees,0.1095883771777153
